iso;country;language;id;region1;region2;region3;region4;locality;postcode;suburb;latitude;longitude;elevation;iso2;fips;nuts;hasc;stat;timezone;utc;dst
BD;Bangladesh;EN;1000106641;Barisal;Barguna;Amtali;;Gazipur Bandar;8641;;22.183050;90.317947;6;BD-02;BG25;;BD.BA.BG;10409;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106642;Barisal;Barguna;Amtali;;Khepupara;8650;;22.013050;90.182549;6;BD-02;BG25;;BD.BA.BG;10409;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106533;Barisal;Barguna;Bamna;;Bamna;8730;;22.335461;90.081451;9;BD-02;BG25;;BD.BA.BG;10419;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106532;Barisal;Barguna;Barguan;;Amtali;8710;;22.062500;90.066353;4;BD-02;BG25;;BD.BA.BG;10428;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106534;Barisal;Barguna;Barguan;;Barguna Sadar;8700;;22.160931;90.147202;10;BD-02;BG25;;BD.BA.BG;10428;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106535;Barisal;Barguna;Barguan;;Nali Bandar;8701;;22.197260;90.077522;7;BD-02;BG25;;BD.BA.BG;10428;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106605;Barisal;Barguna;Betagi;;Shoulajalia;8433;;22.440729;90.223022;5;BD-02;BG25;;BD.BA.BG;10447;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106539;Barisal;Barguna;Patharghata;;Patharghata;8720;;22.082670;89.982323;7;BD-02;BG25;;BD.BA.BG;10485;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106540;Barisal;Barisal;Agailjhara;;Agailzhara;8240;;22.927059;90.192543;11;BD-06;BG01;;BD.BA.BS;10602;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106541;Barisal;Barisal;Agailjhara;;Gaila;8241;;22.946989;90.169518;5;BD-06;BG01;;BD.BA.BS;10602;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106542;Barisal;Barisal;Agailjhara;;Paisarhat;8242;;22.982660;90.188980;10;BD-06;BG01;;BD.BA.BS;10602;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000107101;Barisal;Barisal;Agailjhara;;Ramdia College;8131;;22.986130;90.106148;4;BD-06;BG01;;BD.BA.BS;10602;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106543;Barisal;Barisal;Babuganj;;Babuganj;8210;;22.802000;90.304008;8;BD-06;BG01;;BD.BA.BS;10603;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106544;Barisal;Barisal;Babuganj;;Babuganj Bondor;8217;;22.802000;90.304008;8;BD-06;BG01;;BD.BA.BS;10603;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106545;Barisal;Barisal;Babuganj;;Barishal Cadet;8216;;22.816667;90.333333;9;BD-06;BG01;;BD.BA.BS;10603;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106546;Barisal;Barisal;Babuganj;;Chandpasha;8212;;22.807859;90.336060;7;BD-06;BG01;;BD.BA.BS;10603;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106549;Barisal;Barisal;Babuganj;;Rahamatpur;8211;;22.783300;90.300003;10;BD-06;BG01;;BD.BA.BS;10603;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106573;Barisal;Barisal;Bakerganj;;Charamandi;8281;;22.633301;90.433296;5;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106620;Barisal;Barisal;Bakerganj;;Halta;8562;;22.600000;90.400002;6;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106574;Barisal;Barisal;Bakerganj;;kalaskati;8284;;22.499830;90.357498;5;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106638;Barisal;Barisal;Bakerganj;;Kalishari;8623;;22.545000;90.525284;5;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106603;Barisal;Barisal;Bakerganj;;Kathalia;8430;;22.549999;90.316704;7;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106645;Barisal;Barisal;Bakerganj;;Moukaran;8601;;22.483299;90.416702;0;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106604;Barisal;Barisal;Bakerganj;;Niamatee;8432;;22.490311;90.216438;6;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106575;Barisal;Barisal;Bakerganj;;Padri Shibpur;8282;;22.482410;90.283821;4;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106576;Barisal;Barisal;Bakerganj;;Sahebganj;8280;;22.549999;90.349998;6;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106577;Barisal;Barisal;Bakerganj;;Shialguni;8283;;22.549999;90.449997;8;BD-06;BG01;;BD.BA.BS;10607;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106609;Barisal;Barisal;Banaripara;;Banaripara;8530;;22.774910;90.158630;11;BD-06;BG01;;BD.BA.BS;10610;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106598;Barisal;Barisal;Banaripara;;Gabha;8403;;22.766701;90.166702;9;BD-06;BG01;;BD.BA.BS;10610;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106553;Barisal;Barisal;Barisal;;Barishal Sadar;8200;;22.712099;90.399208;6;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106618;Barisal;Barisal;Barisal;;Betmor Natun Hat;8565;;22.675240;90.372208;7;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106554;Barisal;Barisal;Barisal;;Bukhainagar;8201;;22.742590;90.349541;8;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106619;Barisal;Barisal;Barisal;;Gulishakhali;8563;;22.643761;90.377991;5;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106557;Barisal;Barisal;Barisal;;Patang;8204;;22.684210;90.446899;6;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106558;Barisal;Barisal;Barisal;;Rupatali;8207;;22.676101;90.348950;5;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106559;Barisal;Barisal;Barisal;;Saheberhat;8202;;22.739321;90.308182;4;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106622;Barisal;Barisal;Barisal;;Shilarganj;8566;;22.659500;90.354393;0;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106623;Barisal;Barisal;Barisal;;Tiarkhali;8564;;22.683300;90.333298;5;BD-06;BG01;;BD.BA.BS;10651;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000107150;Barisal;Barisal;Gaurnadi;;Bahadurpur;7932;;23.021860;90.226959;7;BD-06;BG01;;BD.BA.BS;10632;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106561;Barisal;Barisal;Gaurnadi;;Batajor;8233;;22.894480;90.293503;11;BD-06;BG01;;BD.BA.BS;10632;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106562;Barisal;Barisal;Gaurnadi;;Gouranadi;8230;;22.970301;90.230812;10;BD-06;BG01;;BD.BA.BS;10632;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106563;Barisal;Barisal;Gaurnadi;;Kashemabad;8232;;22.925850;90.302299;12;BD-06;BG01;;BD.BA.BS;10632;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106564;Barisal;Barisal;Gaurnadi;;Tarki Bandar;8231;;22.941919;90.227959;7;BD-06;BG01;;BD.BA.BS;10632;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106551;Barisal;Barisal;Hizla;;Barajalia;8260;;22.937300;90.494110;5;BD-06;BG01;;BD.BA.BS;10636;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106565;Barisal;Barisal;Hizla;;Langutia;8274;;22.906330;90.591301;0;BD-06;BG01;;BD.BA.BS;10636;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106555;Barisal;Barisal;Mehendiganj;;Jaguarhat;8206;;22.856100;90.426048;7;BD-06;BG01;;BD.BA.BS;10662;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106556;Barisal;Barisal;Mehendiganj;;Kashipur;8205;;22.843000;90.562508;5;BD-06;BG01;;BD.BA.BS;10662;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106571;Barisal;Barisal;Mehendiganj;;Kazirchar;8251;;22.738251;90.519203;0;BD-06;BG01;;BD.BA.BS;10662;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106566;Barisal;Barisal;Mehendiganj;;Laskarpur;8271;;22.871300;90.542480;2;BD-06;BG01;;BD.BA.BS;10662;Asia/Dhaka;+06:00;+06:00
BD;Bangladesh;EN;1000106567;Barisal;Barisal;Mehendiganj;;Mahendiganj;8270;;22.815901;90.533699;10;BD-06;BG01;;BD.BA.BS;10662;Asia/Dhaka;+06:00;+06:00
