iso;country;language;level;type;name;region1;region2;region3;region4;iso2;fips;nuts;hasc;stat
BD;Bangladesh;EN;0;Country;Bangladesh;;;;;;;;;
BD;Bangladesh;EN;1;Divisions;Barisal;Barisal;;;;BD-A;BG85;;BD.BA;10
BD;Bangladesh;EN;1;Divisions;Chittagong;Chittagong;;;;BD-B;BG84;;BD.CG;20
BD;Bangladesh;EN;1;Divisions;Dhaka;Dhaka;;;;BD-C;BG81;;BD.DA;30
BD;Bangladesh;EN;1;Divisions;Khulna;Khulna;;;;BD-D;BG82;;BD.KH;40
BD;Bangladesh;EN;1;Divisions;Rajshahi;Rajshahi;;;;BD-E;BG83;;BD.RS;50
BD;Bangladesh;EN;1;Divisions;Rangpur;Rangpur;;;;BD-F;BG87;;BD.RP;55
BD;Bangladesh;EN;1;Divisions;Sylhet;Sylhet;;;;BD-G;BG86;;BD.SY;60
BD;Bangladesh;EN;2;Zilas;Barguna;Barisal;Barguna;;;BD-02;BG25;;BD.BA.BG;04
BD;Bangladesh;EN;2;Zilas;Barisal;Barisal;Barisal;;;BD-06;BG01;;BD.BA.BS;06
BD;Bangladesh;EN;2;Zilas;Bhola;Barisal;Bhola;;;BD-07;BG23;;BD.BA.BL;09
BD;Bangladesh;EN;2;Zilas;Jhalokhati;Barisal;Jhalokhati;;;BD-25;BG43;;BD.BA.JK;42
BD;Bangladesh;EN;2;Zilas;Patuakhali;Barisal;Patuakhali;;;BD-51;BG15;;BD.BA.PT;78
BD;Bangladesh;EN;2;Zilas;Pirojpur;Barisal;Pirojpur;;;BD-50;BG68;;BD.BA.PR;79
BD;Bangladesh;EN;2;Zilas;Bandarban;Chittagong;Bandarban;;;BD-01;BG04;;BD.CG.BD;03
BD;Bangladesh;EN;2;Zilas;Brahmanbaria;Chittagong;Brahmanbaria;;;BD-04;BG26;;BD.CG.BB;12
BD;Bangladesh;EN;2;Zilas;Chandpur;Chittagong;Chandpur;;;BD-09;BG27;;BD.CG.CP;13
BD;Bangladesh;EN;2;Zilas;Chittagong;Chittagong;Chittagong;;;BD-10;BG29;;BD.CG.CT;15
BD;Bangladesh;EN;2;Zilas;Comilla;Chittagong;Comilla;;;BD-08;BG05;;BD.CG.CM;19
BD;Bangladesh;EN;2;Zilas;Cox's Bazar;Chittagong;Cox's Bazar;;;BD-11;BG31;;BD.CG.CB;22
BD;Bangladesh;EN;2;Zilas;Feni;Chittagong;Feni;;;BD-16;BG35;;BD.CG.FN;30
BD;Bangladesh;EN;2;Zilas;Khagrachhari;Chittagong;Khagrachhari;;;BD-29;BG45;;BD.CG.KG;46
BD;Bangladesh;EN;2;Zilas;Lakshmipur;Chittagong;Lakshmipur;;;BD-31;BG50;;BD.CG.LK;51
BD;Bangladesh;EN;2;Zilas;Noakhali;Chittagong;Noakhali;;;BD-47;BG13;;BD.CG.NO;75
BD;Bangladesh;EN;2;Zilas;Rangamati;Chittagong;Rangamati;;;BD-56;BG67;;BD.CG.PC;84
BD;Bangladesh;EN;2;Zilas;Dhaka;Dhaka;Dhaka;;;BD-13;BG32;;BD.DA.DH;26
BD;Bangladesh;EN;2;Zilas;Faridpur;Dhaka;Faridpur;;;BD-15;BG34;;BD.DA.FR;29
BD;Bangladesh;EN;2;Zilas;Gazipur;Dhaka;Gazipur;;;BD-18;BG37;;BD.DA.GZ;33
BD;Bangladesh;EN;2;Zilas;Gopalganj;Dhaka;Gopalganj;;;BD-17;BG38;;BD.DA.GG;35
BD;Bangladesh;EN;2;Zilas;Jamalpur;Dhaka;Jamalpur;;;BD-21;BG41;;BD.DA.JM;39
BD;Bangladesh;EN;2;Zilas;Kishoreganj;Dhaka;Kishoreganj;;;BD-26;BG47;;BD.DA.KS;48
BD;Bangladesh;EN;2;Zilas;Madaripur;Dhaka;Madaripur;;;BD-36;BG52;;BD.DA.MD;54
BD;Bangladesh;EN;2;Zilas;Manikganj;Dhaka;Manikganj;;;BD-33;BG54;;BD.DA.MK;56
BD;Bangladesh;EN;2;Zilas;Munshiganj;Dhaka;Munshiganj;;;BD-35;BG57;;BD.DA.MU;59
BD;Bangladesh;EN;2;Zilas;Mymensingh;Dhaka;Mymensingh;;;BD-34;BG12;;BD.DA.MM;61
BD;Bangladesh;EN;2;Zilas;Narayanganj;Dhaka;Narayanganj;;;BD-40;BG60;;BD.DA.NY;67
BD;Bangladesh;EN;2;Zilas;Narsingdi;Dhaka;Narsingdi;;;BD-42;BG61;;BD.DA.NS;68
BD;Bangladesh;EN;2;Zilas;Netrokona;Dhaka;Netrokona;;;BD-41;BG63;;BD.DA.NK;72
BD;Bangladesh;EN;2;Zilas;Rajbari;Dhaka;Rajbari;;;BD-53;BG69;;BD.DA.RB;82
BD;Bangladesh;EN;2;Zilas;Shariatpur;Dhaka;Shariatpur;;;BD-62;BG73;;BD.DA.SA;86
BD;Bangladesh;EN;2;Zilas;Sherpur;Dhaka;Sherpur;;;BD-57;BG74;;BD.DA.SP;89
BD;Bangladesh;EN;2;Zilas;Tangail;Dhaka;Tangail;;;BD-63;BG78;;BD.DA.TA;93
BD;Bangladesh;EN;2;Zilas;Bagerhat;Khulna;Bagerhat;;;BD-05;BG22;;BD.KH.BH;01
BD;Bangladesh;EN;2;Zilas;Chuadanga;Khulna;Chuadanga;;;BD-12;BG30;;BD.KH.CD;18
BD;Bangladesh;EN;2;Zilas;Jessore;Khulna;Jessore;;;BD-22;BG42;;BD.KH.JS;41
BD;Bangladesh;EN;2;Zilas;Jhenaidah;Khulna;Jhenaidah;;;BD-23;BG44;;BD.KH.JN;44
BD;Bangladesh;EN;2;Zilas;Khulna;Khulna;Khulna;;;BD-27;BG46;;BD.KH.KL;47
BD;Bangladesh;EN;2;Zilas;Kushtia;Khulna;Kushtia;;;BD-30;BG49;;BD.KH.KU;50
BD;Bangladesh;EN;2;Zilas;Magura;Khulna;Magura;;;BD-37;BG53;;BD.KH.MG;55
BD;Bangladesh;EN;2;Zilas;Meherpur;Khulna;Meherpur;;;BD-39;BG55;;BD.KH.ME;57
