বরগুনা		882(58)	1831(37)	481(61)
বরিশাল		2291(23)	2785(20)	823(45)
ভোলা		1758(36)	3403(14)	517(59)
ঝালকাঠি		596(63)	749(63)	795(46)
পটুয়াখালী		1517(41)	3221(15)	471(62)
পিরোজপুর		1103(53)	1308(50)	844(44)
বান্দরবান		383(64)	4479(3)	86(64)
ব্রাহ্মণবাড়ীয়া		2808(14)	1927(35)	1457(8)
চাঁদপুর		2393(20)	1704(40)	1404(10)
চট্টগ্রাম		7509(2)	5283(2)	1421(9)
কুমিল্লা		5304(3)	3085(16)	1719(5)
কক্সবাজার		2275(24)	2492(26)	913(35)
ফেনী		1420(44)	928(61)	1530(6)
খাগড়াছড়ি		608(61)	2700(21)	225(64)
লক্ষীপুর		1711(38)	1456(46)	1175(13)
নোয়াখালী		3072(8)	3601(9)	853(43)
রাঙ্গামাটি		596(62)	6116(1)	97(63)
ঢাকা		11875(1)	1464(45)	8111(1)
ফরিদপুর		1867(34)	2073(32)	901(37)
গাজীপুর		3333(6)	1800(39)	1852(3)
গোপালগঞ্জ		1149(49)	1490(44)	771(49)
জামালপুর		2265(25)	2032(33)	1115(18)
কিশোরগঞ্জ		2853(13)	2689(22)	1061(22)
মাদারীপুর		1149(50)	1145(54)	1004(26)
মানিকগঞ্জ		1379(46)	1379(48)	1000(27)
মুন্সীগঞ্জ		1420(43)	955(60)	1487(7)
ময়মনসিংহ		5042(4)	4363(5)	1156(15)
নারায়ণগঞ্জ		2897(11)	759(62)	4139(2)
নরসিংদী		2202(27)	1141(55)	1930(4)
নেত্রকোনা		2207(26)	2810(18)	786(47)
রাজবাড়ী		1040(54)	1119(56)	929(34)
শরীয়তপুর		1146(51)	1182(52)	970(30)
শেরপুর		1334(47)	1364(49)	978(28)
টাঙ্গাইল		3571(5)	3414(13)	1046(24)
বাগেরহাট		1461(42)	3959(6)	369(63)
চুয়াডাঙ্গা		1123(52)	1177(53)	954(32)
যশোর		2742(15)	2567(24)	1068(21)
ঝিনাইদহ		1756(37)	1961(34)	895(38)
খুলনা		2294(22)	4394(4)	522(58)
কুষ্টিয়া		1933(32)	1601(42)	1207(13)
মাগুরা		913(56)	1049(57)	871(41)
মেহেরপুর		652(60)	579(64)	910(36)
নড়াইল		715(59)	990(58)	722(52)
সাতক্ষিরা		1973(31)	3858(7)	511(60)
বগুড়া		3371(7)	2920(17)	1154(16)
জয়পুরহাট		909(57)	965(59)	942(33)
নওগাঁ		2576(16)	3436(12)	750(51)
নাটোর		1696(39)	1896(36)	894(39)
নওয়াবগঞ্জ		1635(40)	1703(41)	960(31)
পাবনা		2497(18)	2372(28)	1053(23)
রাজশাহী		2573(17)	2407(27)	1069(20)
সিরাজগঞ্জ		3072(9)	2498(25)	1230(11)
দিনাজপুর		2970(10)	3438(11)	864(42)
গাইবান্ধা		2349(21)	2179(31)	1078(19)
কুড়িগ্রাম		2050(29)	2296(30)	893(40)
লালমনিরহাট		1249(48)	1241(51)	1006(25)
নীলফামারী		1820(35)	1580(43)	1152(17)
পঞ্চগড়		981(55)	1405(47)	698(53)
রংপুর		2866(12)	2368(29)	1210(12)
ঠাকুরগাঁ		1380(45)	1810(38)	762(50)
হবিগঞ্জ		2059(28)	2637(23)	781(48)
মৌলভীবাজার		1902(33)	2799(19)	679(54)
সুনামগঞ্জ		2443(19)	3670(8)	666(55)
সিলেট		3404(6)	3490(10)	975(29)
